cat,type,techdef
AUR,Main,If BDS = 1 or BKN = 1 or BKS = 1 or CFN = 1 or CFS = 1 or CNG = 1 or CNN = 1 or CNV = 1 or FCS = 1 or FFS = 1 or PIN = 1 or PIS = 1 or QSV = 1 then AUR = 1
AUU,Main,If BDS = 1 or BKN = 1 or BKS = 1 or CFN = 1 or CFS = 1 or CNG = 1 or CNN = 1 or CNV = 1 or DRG = 1 or DRN = 1 or FCS = 1 or FFS = 1 or GSS = 1 or NUT = 1 or PIN = 1 or PIS = 1 or QSV = 1 then AUU = 1
BDS,Auxiliary,"SIC codes in the ranges 54110000-54110199, 54110300-54119999 AND [employees<5 AND sales<$2million or sales=missing]. Employees must be non-missing. If employees<5, then sales could be missing. For sales and employees, the most recent value for these was used if these changed over time."
BKA,Intermediate,If BKN = 1 or BKS = 1 then BKA = 1
BKN,Auxiliary,"Meets one of the following criteria:
1) SIC codes 54000000-54999999, 55400000-55499999, 58000000-58999999, 59630100-59630299, 65120200-65120299 AND Trade Name on the Technomics/R&I list for segment of “Quick Service” and Menu as “Doughnuts,” “Specialty,” or “Frozen Desserts.”
2) SIC codes 54000000-54999999, 58000000-58999999 AND Company on the Technomics/R&I list for segment of “Quick Service” and Menu as “Doughnuts,” “Specialty,” or “Frozen Desserts.”
Chain name list can be found in the appendix (31 chain names).
"
BKS,Auxiliary,"SIC codes in the range 54610000-54619999 or SIC codes 54410000, 54419900, 54419901, 54419902, 54419903, 54419905, 54519903, 54999901, 58120200, 58120202, 58120203, 58120204, 59999913"
CFA,Intermediate,If CFN = 1 or CFS = 1 then CFA = 1
CFN,Auxiliary,"Meets one of the following criteria:
1) SIC codes 54000000-54999999, 55400000-55499999, 58000000-58999999, 59630100-59630299, 65120200-65120299 AND Trade Name on the Technomics/R&I list for either segment of “Quick Service” or “Fast Casual” and Menu is “Coffee,” “Coffee Café,” or “Coffee/Tea.”
2) SIC codes 54000000-54999999, 58000000-58999999 AND Company on the Technomics/R&I list for either segment of “Quick Service” or “Fast Casual” and Menu is “Coffee,” “Coffee Café,” or “Coffee/Tea.”

"
CFS,Auxiliary,"SIC codes 54990201, 54990204, 58120304"
CMN,Auxiliary,"SIC codes 51000000-51999999, 53000000-53999999, 54000000-54999999, 55400000-55499999, 56000000-56999999, 58000000-58999999, 59000000-59999999, 65120200-65120299 AND Company or Trade Name on the TDLinx list for trade channel “Mass Merchandiser” and sub-channel “Conventional Mass Merch.” "
CNA,Intermediate,If CNG = 1 or CNN = 1 or CNV = 1 then CNA = 1
CNG,Auxiliary,"SIC codes 53000000-53999999, 54000000-54999999, 55400000-55499999, 58000000-58999999, 59000000-59999999, 65120200-65120299 AND Company or Trade Name on the TDLinx list for trade channel “Convenience Store” and sub-channel “Conventional” where store name does appear on sub-channel “Gas station/Kiosk.” "
CNN,Auxiliary,"SIC codes 53000000-53999999, 54000000-54999999, 55400000-55499999, 58000000-58999999, 59000000-59999999, 65120200-65120299 AND Company or Trade Name on the TDLinx list for trade channel “Convenience Store” and sub-channel “Conventional” where store name does not appear on sub-channel “Gas station/Kiosk.” "
CNV,Auxiliary,SIC codes in the range 54110200-54110299
CSD,Auxiliary,"Meets one of the following criteria:
1) SIC codes 54000000-54999999, 55400000-55499999, 58000000-58999999, 59630100-59630299, 65120200-65120299 AND Trade Name on the Technomics/R&I list for either segment of “Casual Dining” or “Family Dining” with any Menu segment or “Quick Service” and Menu is “Family Casual.”
2) SIC codes 54000000-54999999, 58000000-58999999 AND Company on the Technomics/R&I list for either segment of “Casual Dining” or “Family Dining” with any Menu segment or “Quick Service” and Menu is “Family Casual.”
"
EAO,Auxiliary,"SIC codes 58120107, 58120110, 58120111, 58120115, 58120116, 58120117"
EAP,Auxiliary,"SIC codes 58120103, 58120109, 58120114"
EAT,Auxiliary,"SIC codes in the ranges 58120000-58120102, 58120400-58120599, 58120700-58129999 or SIC Codes 58120201, 58120205, 58120206 (SIC codes in 5812 with the exception of 581203 (Fast food/coffee shops), 581206 (Pizza), 58120103-58120117 (Ethnic restaurants), and some 581202 that are coded as bakery (58120200, 58120202, 58120203, 58120204))"
EEP,Auxiliary,"SIC codes 58120108, 58120112"
EEU,Auxiliary,"SIC codes 58120104, 58120105, 58120106, 58120113"
ETA,Main,If EAO = 1 or EAP = 1 or EEP = 1 or EEU = 1 then ETA = 1
FCS,Auxiliary,"Meets one of the following criteria:
1) SIC codes 54000000-54999999, 55400000-55499999, 58000000-58999999, 59630100-59630299, 65120200-65120299 AND Trade Name on the Technomics/R&I list for either segment of “Fast Casual” and Menu is not “Coffee.”
2) SIC codes 54000000-54999999, 58000000-58999999 AND Company on the Technomics/R&I list for either segment of “Fast Casual” and Menu is not “Coffee.”
"
FFA,Main,If FCS = 1 or FFS = 1 or QSV = 1 then FFA = 1
FFS,Auxiliary,"SIC codes in the ranges 58120300-58120303, 58120305-58120399 (all 581203 with the exception of 58130304 – Coffee shops)"
FSA,Main,If BDS = 1 or BKN = 1 or BKS = 1 or CMN = 1 or CNG = 1 or CNN = 1 or CNV = 1 or DDP = 1 or FSH = 1 or FVM = 1 or GRY = 1 or GSS = 1 or MET = 1 or NAT = 1 or NUT = 1 or OFD = 1 or SCT = 1 or SMK = 1 or SMN = 1 or WRN = 1 or WRS = 1 then FSA = 1
FSH,Auxiliary,SIC codes in the range 54210100-54210199
FVM,Auxiliary,SIC codes in the range 54310000-54319999 and SIC 01619904
GRY,Auxiliary,"SIC codes in the ranges 54110000-54110199, 54110300-54119999 AND {[employees>=5 AND employees<25] or employees=missing]] and [sales<$2million or sales=missing]}. If employees is missing and sales is not missing, then sales must be <$2million. If sales is missing and employees is not missing, then employees is between 5-24. If both employees and sales is missing, then that record will be coded as ‘GRY’ here. For sales and employees, the most recent value for these was used if these changed over time."
HSR,Main,If FVM = 1 or SCT = 1 or SMK = 1 or SMN = 1 then HSR = 1
HSU,Main,If CMN = 1or DDP = 1 or FSH = 1 or FVM = 1 or NAT = 1 or SCT = 1 or SMK = 1 or SMN = 1 then HSU = 1
MET,Auxiliary,"SIC codes in the range 54210200-54210299 or SIC codes 54210000, 54510000, 54519900, 54519901, 54519902, 54519904, 54999902, 54999904"
NAT,Auxiliary,SIC codes in the range 54990100-54990199
NUT,Auxiliary,SIC code 54419904
OFD,Auxiliary,"SIC codes 54990000, 54990200, 54990202, 54990203, 54990205, 54999900, 54999903, 54999905"
