BaseGroup	HighLevel
ACM	ACP
ACM	APA
ACM	CAS
ACM	CMP
ACM	FSR
ACM	FSU
ACM	MPA
ACM	WAL
ACM	WLR
ALM	WAL
AMP	APA
AMP	FSR
AMP	FSU
AMP	MPA
AMP	WAL
AMP	WLR
AMU	CAS
AMU	SID
AMU	WAL
AMW	ACP
AMW	APA
AMW	CAS
AMW	CEU
AMW	CMU
AMW	FSR
AMW	FSU
AMW	MUL
AMW	WAL
AMW	WLR
ARC	CAS
ARC	SID
ARC	WAL
ARC	WLR
ART	CEU
ART	WAL
AVP	APA
AVP	FSR
AVP	FSU
AVP	VPA
AVP	WAL
AVP	WLR
BAR	AAL
BAR	NGT
BAR	SFC
BAR	WAL
BAR	WLR
BDS	AUR
BDS	AUU
BDS	FSA
BDS	FSU
BDS	USR
BDS	USU
BDS	WAL
BDS	WLR
BEU	FSR
BEU	FSU
BEU	WAL
BEU	WLR
BHH	ACT
BHH	AEC
BHH	BHA
BHH	HOI
BHH	MBH
BHO	ACT
BHO	AMB
BHO	BHA
BHO	MBH
BIO	ATR
BKN	AUR
BKN	AUU
BKN	BKA
BKN	FSA
BKN	FSU
BKN	USR
BKN	USU
BKN	WAL
BKN	WLR
BKS	AUR
BKS	AUU
BKS	BKA
BKS	FSA
BKS	FSU
BKS	USR
BKS	USU
BKS	WAL
BKS	WLR
BNK	FIN
BNK	PBN
BNK	WAL
BNK	WLR
BOK	WAL
BOK	WLR
CBC	CST
CBC	DIS
CCH	FIN
CCH	WAL
CCH	WLR
CDS	PCT
CFN	AUR
CFN	AUU
CFN	CFA
CFN	RSA
CFN	RUA
CFN	SFC
CFN	WAL
CFN	WLR
CFS	AUR
CFS	AUU
CFS	CFA
CFS	RSA
CFS	RUA
CFS	SFC
CFS	WAL
CFS	WLR
CHR	ACT
CHR	AMB
CHR	ATR
CHS	PCT
CLO	WAL
CLO	WLR
CLS	CUP
CLS	DIS
CMN	DEP
CMN	DPA
CMN	FSA
CMN	FSU
CMN	HSU
CMN	WAL
CMS	ACP
CMS	APA
CMS	CAS
CMS	CEU
CMS	CMU
CMS	FSR
CMS	FSU
CMS	MUL
CMS	WAL
CMS	WLR
CMW	ACP
CMW	CAS
CMW	CMU
CMW	WAL
CMW	WLR
CND	THC
CND	WAL
CND	WLR
CNF	THC
CNG	AUR
CNG	AUU
CNG	CNA
CNG	FSA
CNG	FSU
CNG	USR
CNG	USU
CNN	AUR
CNN	AUU
CNN	CNA
CNN	FSA
CNN	FSU
CNN	USR
CNN	USU
CNN	WAL
CNN	WLR
CNV	AUR
CNV	AUU
CNV	CNA
CNV	FSA
CNV	FSU
CNV	USR
CNV	USU
CNV	WAL
CNV	WLR
COM	WAL
COM	WLR
COS	WAL
COS	WLR
CPC	PCT
CRD	FIN
CRD	PBN
CRD	WAL
CRD	WLR
CRP	CST
CRP	DIS
CRP	REN
CSD	RSA
CSD	SFC
CSD	WAL
CSD	WLR
CVP	ACP
CVP	APA
CVP	CAS
CVP	FSR
CVP	FSU
CVP	VPA
CVP	WAL
CVP	WLR
DCR	WAL
DCR	WLR
DCS	CST
DCS	CUP
DCS	DIS
DDP	DEP
DDP	DPA
DDP	FSA
DDP	FSU
DDP	HSU
DDP	WAL
DDS	ACT
DDS	AMB
DEM	CST
DEM	CUP
DEM	DIS
DLR	DPA
DLR	WAL
DLR	WLR
DOC	WAL
DPT	DEP
DPT	WAL
DPT	WLR
DRG	AUU
DRG	DRA
DRG	USU
DRG	WAL
DRG	WLR
DRN	AUU
DRN	DRA
DRN	USU
DRN	WAL
DRN	WLR
DRW	CST
DRW	DIS
DRW	REN
EAO	ETA
EAO	RSA
EAO	SFC
EAO	WAL
EAO	WLR
EAP	ETA
EAP	RSA
EAP	SFC
EAP	WAL
EAP	WLR
EAR	WAL
EAT	RSA
EAT	SFC
EAT	WAL
EAT	WLR
EEP	ETA
EEP	RSA
EEP	SFC
EEP	WAL
EEP	WLR
EEU	ETA
EEU	RSA
EEU	SFC
EEU	WAL
EEU	WLR
ELW	CST
ELW	DIS
ELW	ELE
ELW	REN
ETC	CST
ETC	DIS
ETC	ELE
FCS	AUR
FCS	AUU
FCS	FFA
FCS	RSA
FCS	RUA
FCS	WAL
FCS	WLR
FFS	AUR
FFS	AUU
FFS	FFA
FFS	RSA
FFS	RUA
FFS	WAL
FFS	WLR
FIR	SAF
FSG	WAL
FSG	WLR
FSH	FSA
FSH	FSU
FSH	HSU
FSH	WAL
FSH	WLR
FVM	FSA
FVM	FSU
FVM	HSR
FVM	HSU
FVM	WAL
FVM	WLR
FWK	WAL
GHT	AHT
GHT	GAM
GHT	NGT
GHT	SID
GHT	WAL
GMM	WAL
GMN	DEP
GMN	WAL
GNH	GAM
GNH	NGT
GNH	SID
GNH	WAL
GPA	APA
GPA	FSR
GPA	FSU
GPA	GUN
GPA	MPA
GPA	WAL
GRY	FSA
GRY	FSU
GRY	WAL
GRY	WLR
GSS	AUU
GSS	FSA
GSS	FSU
GSS	USU
GUR	GUN
GUR	WAL
GUR	WLR
HHG	WAL
HHG	WLR
HOB	WAL
HOB	WLR
HOS	ACT
HOS	AEC
HOS	HOI
HPC	ACT
HPC	AMB
HTL	AHT
HTL	WAL
HTL	WLR
HWS	CST
HWS	DIS
IBC	CST
IBC	DIS
IBC	IFC
ILC	CST
ILC	DIS
ILC	IFC
INV	FIN
INV	WAL
IPC	CST
IPC	DIS
IRC	CST
IRC	DIS
IRC	IFC
IUC	CST
IUC	DIS
IUC	IFC
JCO	CER
JCO	CEU
JCO	EDD
JCO	WAL
KCT	ACT
KCT	AMB
LAU	WAL
LAU	WLR
LFS	DIS
LFS	OMS
LGM	DIS
LGM	OMS
LGN	DIS
LGN	LGS
LGN	OMS
LGW	DIS
LGW	LGS
LGW	OMS
LGW	WAL
LIB	CAS
LIB	CER
LIB	CEU
LIB	CUL
LIB	FSR
LIB	FSU
LIB	WAL
LIB	WLR
LIN	AAL
LIN	LIQ
LIN	WAL
LIN	WLR
LIS	AAL
LIS	LIQ
LIS	WAL
LIS	WLR
LOT	WAL
LOT	WLR
MAG	CER
MAG	CEU
MAG	CUL
MAG	SID
MAG	WAL
MAG	WLR
MAS	ATR
MAS	PTM
MAS	WAL
MAS	WLR
MET	FSA
MET	FSU
MET	WAL
MET	WLR
MFC	CST
MFC	DIS
MHH	ACT
MHH	AEC
MHH	HOI
MHH	MBH
MHH	MHA
MHO	ACT
MHO	AMB
MHO	MBH
MHO	MHA
MIR	WAL
MIR	WLR
MOR	FIN
MPC	ACP
MPC	CAS
MPC	CMP
MPC	WAL
MPC	WLR
MST	CST
MST	DIS
MST	REN
MUA	APA
MUA	CEU
MUA	FSR
MUA	FSU
MUA	MUL
MUA	WAL
MUA	WLR
NAT	FSA
NAT	FSU
NAT	HSU
NAT	WAL
NAT	WLR
NCL	NGT
NCL	SFC
NCL	WAL
NCL	WLR
NPI	CER
NPI	CEU
NPI	WAL
NPI	WLR
NSD	WAL
NSD	WLR
NUT	AUU
NUT	FSA
NUT	FSU
NUT	USU
NUT	WAL
NUT	WLR
OFD	FSA
OFD	FSU
OFD	WAL
OFD	WLR
OFN	FIN
OFN	WAL
OFN	WLR
OPT	WAL
PBE	CER
PBE	CEU
PBE	CUL
PBE	SID
PBE	WAL
PBE	WLR
PCC	CST
PCC	DIS
PCC	REN
PET	WAL
PET	WLR
PHT	ACT
PHT	AMB
PHT	ATR
PHT	PTM
PHV	CST
PHV	DIS
PHV	REN
PIN	AUR
PIN	AUU
PIN	PIZ
PIN	RSA
PIN	RUA
PIN	SFC
PIN	WAL
PIN	WLR
PIS	AUR
PIS	AUU
PIS	PIZ
PIS	RSA
PIS	RUA
PIS	SFC
PIS	WAL
PIS	WLR
PLO	CER
PLO	CEU
PLO	SID
PLO	WAL
POL	SAF
POS	WAL
POS	WLR
PSC	WAL
PSC	WLR
QSV	AUR
QSV	AUU
QSV	FFA
QSV	RSA
QSV	RUA
QSV	WAL
QSV	WLR
RBS	WAL
RCC	CER
RCC	CEU
RCC	FSR
RCC	FSU
RCC	WAL
RCC	WLR
REL	ARL
REL	CAS
REL	CEU
REL	FSR
REL	FSU
REL	WAL
REL	WLR
RFS	CUP
RFS	DIS
RLG	ARL
RLG	WAL
RLG	WLR
RSI	CST
RSI	DIS
RSI	REN
RTC	ACT
RTC	AEC
RTC	AMB
RTC	CMB
RTC	WAL
SCB	AAL
SCB	NGT
SCB	SID
SCB	WAL
SCB	WLR
SCC	EDD
SCC	SCL
SCC	WAL
SCC	WLR
SCN	EDD
SCN	SCL
SCN	WAL
SCN	WLR
SCT	FSA
SCT	FSU
SCT	HSR
SCT	HSU
SCT	SMA
SCT	WAL
SER	WAL
SER	WLR
SFM	CST
SFM	DIS
SHP	WAL
SHP	WLR
SLC	CER
SLC	CEU
SLC	SID
