SICCode,SICDescription
01110000,Wheat
01120000,Rice
01150000,Corn
01160000,Soybeans
01190000,"Cash grains, nec"
01190100,Pea and bean farms (legumes)
01190101,Bean (dry field and seed) farm
01190102,Cowpea farm
01190103,Lentil farm
01190104,Mustard seed farm
01190105,Pea (dry field and seed) farm
01190200,Feeder grains
01190201,Emmer farm
01190202,Milo farm
01190203,Oat farm
01190300,Oil grains
01190301,Flaxseed farm
01190302,Safflower farm
01190303,Sunflower farm
01190400,Cereal crop farms
01190401,Barley farm
01190402,Buckwheat farm
01190403,Rye farm
01190404,Sorghum farm
01199900,"Cash grains, nec, nec"
01199901,Popcorn farm
01310000,Cotton
01319900,"Cotton, nec"
01319901,Cottonseed farm
01320000,Tobacco
01330000,Sugarcane and sugar beets
01339900,"Sugarcane and sugar beets, nec"
01339901,Sugar beet farm
01339902,Sugarcane farm
01340000,Irish potatoes
01390000,"Field crops, except cash grain"
01390100,Feeder crops
01390101,Alfalfa farm
01390102,Clover farm
01390103,Grass seed farm
01390104,Hay farm
01390105,Timothy farm
01390200,Food crops
01390201,Peanut farm
01390202,Sweet potato farm
01399900,"Field crops, except cash grains, nec, nec"
01399901,Broomcorn farm
01399902,Flax farm
01399903,Hop farm
01399904,Mint farm
01399905,Herb or spice farm
01399906,Cannabis farm
01610000,Vegetables and melons
01610100,Melon farms
01610101,Cantaloupe farm
01610102,Crenshaw melon farm
01610103,Honeydew melon farm
01610104,Watermelon farm
01610200,Pea and bean farms
01610201,English pea farm
01610202,"Lima bean farm, green"
01610203,"Pea farm, green (except dry peas)"
01610204,Snap bean farm (bush and pole)
01610300,Rooted vegetable farms
01610301,Beet farm
01610302,Carrot farm
01610303,Onion farm
01610400,Lettuce and leaf vegetable farms
01610401,Artichoke farm
01610402,Bok choy farm
01610403,Broccoli farm
01610404,Brussels sprout farm
01610405,Cabbage farm
01610406,Cauliflower farm
01610407,Celery farm
01610408,Endive farm
01610409,Lettuce farm
01610410,Romaine farm
01610411,Spinach farm
01619900,"Vegetables and melons, nec"
01619901,Asparagus farm
01619902,"Corn farm, sweet"
01619903,Cucumber farm
01619904,Market garden
01619905,"Pepper farm, sweet and hot (vegetables)"
01619906,Squash farm
01619907,Tomato farm
01619908,Truck farm
01619909,Pumpkin farm
01710000,Berry crops
01719900,"Berry crops, nec"
01719901,Blackberry farm
01719902,Blueberry farm
01719903,Cranberry bog
01719904,Currant farm
01719905,Dewberry farm
01719906,Gooseberry farm
01719907,Loganberry farm
01719908,Raspberry farm
01719909,Strawberry farm
01720000,Grapes
01730000,Tree nuts
01739900,"Tree nuts, nec"
01739901,Almond grove
01739902,Chestnut grove
01739903,Filbert grove
01739904,Macadamia grove
01739905,Pecan grove
01739906,Pistachio grove
01739907,Tung nut grove
01739908,Walnut grove
01740000,Citrus fruits
01749900,"Citrus fruits, nec"
01749901,Grapefruit grove
01749902,Lemon grove
01749903,Lime grove
01749904,Orange grove
01749905,Tangelo grove
01749906,Tangerine grove
01750000,Deciduous tree fruits
01759900,"Deciduous tree fruits, nec"
01759901,Apple orchard
01759902,Apricot orchard
01759903,Cherry orchard
01759904,Nectarine orchard
01759905,Peach orchard
01759906,Pear orchard
01759907,Persimmon orchard
01759908,Plum orchard
01759909,Pomegranate orchard
01759910,Prune orchard
01759911,Quince orchard
01790000,"Fruits and tree nuts, nec"
01799900,"Fruits and tree nuts, nec, nec"
01799901,Avocado orchard
01799902,Banana grove
01799903,Coconut grove
01799904,Date orchard
01799905,Fig orchard
01799906,Kiwi farm
01799907,Olive grove
01799908,Pineapple farm
01799909,Plantain grove
01799910,Coffee farm
01799911,Guava grove
01799912,Papaya grove
01799913,Mango grove
01810000,Ornamental nursery products
01810100,"Plants, foliage and shrubberies"
01810101,"Bedding plants, growing of"
01810102,"Foliage, growing of"
01810103,"Mats, preseeded: soil erosion, growing of"
01810104,"Nursery stock, growing of"
01810105,"Plants, potted: growing of"
01810106,"Shrubberies, grown in field nurseries"
01810107,"Shrubberies, grown under cover (e.g. greenhouse production)"
01810200,Florists' greens and flowers
01810201,"Florists' greens, cultivated: growing of"
01810202,"Flowers, grown in field nurseries"
01810203,"Flowers: grown under cover (e.g., greenhouse production)"
01810204,"Roses, growing of"
01810300,Bulbs and seeds
01810301,"Bulbs, growing of"
01810302,"Seeds, flower: growing of"
01810303,"Seeds, vegetable: growing of"
01819900,"Ornamental nursery products, nec"
01819901,"Fruit stocks, growing of"
01819902,Sod farms
01820000,Food crops grown under cover
01820100,"Vegetable crops, grown under cover"
01820101,"Bean sprouts, grown under cover"
01820102,"Mushroom spawn, production of"
01820103,"Mushrooms, grown under cover"
01820104,"Rhubarb, grown under cover"
01820105,"Tomatoes, grown under cover"
01820106,"Truffles, grown under cover"
01829900,"Food crops grown under cover, nec"
01829901,"Fruits, grown under cover"
01829902,"Hydroponic crops, grown under cover"
01829903,"Seaweed, grown under cover"
01910000,"General farms, primarily crop"
02110000,Beef cattle feedlots
02120000,"Beef cattle, except feedlots"
02130000,Hogs
02139900,"Hogs, nec"
02139901,Hog feedlot
02140000,Sheep and goats
02140100,Goats
02140101,Goat farm
02140102,Goats' milk production
02140103,Mohair production
02140200,Sheep
02140201,Lamb feedlot
02140202,Sheep feeding farm
02140203,Sheep raising farm
02140204,Wool production
02190000,"General livestock, nec"
02410000,Dairy farms
02419900,"Dairy farms, nec"
02419901,Dairy heifer replacement farm
02419902,Milk production
02510000,"Broiler, fryer, and roaster chickens"
02519900,"Broiler, fryer, and roaster chickens, nec"
02519901,"Broiling chickens, raising of"
02519902,"Capons, raising of"
02519903,"Cornish hens, raising of"
02519904,"Frying chickens, raising of"
02519905,"Roasting chickens, raising of"
02520000,Chicken eggs
02529900,"Chicken eggs, nec"
02529901,Started pullet farm
02530000,Turkeys and turkey eggs
02539900,"Turkeys and turkey eggs, nec"
02539901,Turkey egg farm
02539902,Turkey farm
02540000,Poultry hatcheries
02549900,"Poultry hatcheries, nec"
02549901,Chicken hatchery
02590000,"Poultry and eggs, nec"
02599900,"Poultry and eggs, nec, nec"
02599901,Duck farm
02599902,Geese farm
02599903,Pheasant farm
02599904,Pigeon farm
02599905,Quail farm
02599906,Squab farm
02710000,Fur-bearing animals and rabbits
02719900,"Fur-bearing animals and rabbits, nec"
02719901,Chinchilla farm
02719902,Fox farm
02719903,Mink farm
02719904,Rabbit farm
02719905,Racoon farm
02720000,Horses and other equines
02729900,"Horses and other equines, nec"
02729901,Burro farm
02729902,Donkey farm
02729903,Horse farm
02729904,Mule farm
02729905,Pony farm
02730000,Animal aquaculture
02730100,Finfish farms
02730101,Catfish farm
02730102,Goldfish farm
02730103,Minnow farm
02730104,Tropical fish farm
02730105,Trout farm
02730200,Shellfish farms
02730201,Crustacean farm
02730202,Mollusk farm
02790000,"Animal specialties, nec"
02790100,Worm farms
02790101,Earthworm farm
02790102,Silk (raw) production and silkworm farm
02790200,Bird sanctuaries
02790201,Aviary
02790300,Amphibious animal farms
02790301,Alligator farm
02790302,Frog farm
02790303,Rattlesnake farm
02790400,Domestic animal farms
02790401,Cat farm
02790402,Dog farm
02790403,"Kennels, breeding and raising own stock"
02799900,"Animal specialties, nec, nec"
02799901,Apiary (bee and honey farm)
02799902,Laboratory animal farm
02799903,Insect farm
02910000,"General farms, primarily animals"
02919900,"General farms, primarily animals, nec"
02919901,"Animal specialty farm, general"
02919902,"Livestock farm, general"
07110000,Soil preparation services
07119900,"Soil preparation services, nec"
07119901,Fertilizer application services
07119902,Lime spreading services
07119903,Plowing services
07119904,Seed bed preparation services
07119905,Soil chemical treatment services
07119906,Soil testing services
07119907,"Weed control services, before planting"
07210000,Crop planting and protection
07210100,Orchard tree and vine services
07210101,Orchard tree and vine bracing services
07210102,Orchard tree and vine pruning services
07210103,Orchard tree and vine surgery services
07210104,"Tree orchards, cultivation of"
07210105,"Vines, cultivation of"
07210200,Sprout and twig services
07210201,Sprout and twig cultivation services
07210202,Sprout and twig seeding services
07210300,Crop protecting services
07210301,Crop disease control services
07210302,Crop dusting services
07210303,Crop related entomological services (insect control)
07210304,Crop spraying services
07210400,Crop cultivating services
07210401,Citrus grove cultivation services
07210402,Corn detasseling services
07210403,Crop thinning (chemical) services
07210404,Crop thinning (mechanical) services
07210405,Flame cultivation services
07210406,Hoeing services
07210407,"Irrigation system operation, not providing water"
07210408,Mechanical cultivation services
07210409,Pollinating services
07210410,"Weed control services, after planting"
07219900,"Crop planting and protection, nec"
07219901,Crop seeding services
07219902,Planting services
07220000,Crop harvesting
07220100,"Cash grains, machine harvesting services"
07220101,Chopping and silo filling services
07220102,"Corn, machine harvesting services"
07220103,"Rice, machine harvesting services"
07220104,"Soybean, machine harvesting services"
07220105,Threshing service
07220106,"Wheat, machine harvesting services"
07220200,"Fruit and tree nuts, machine harvesting services"
07220201,"Berry crops, machine harvesting services"
07220202,"Fruit, machine harvesting services"
07220203,"Grapes, machine harvesting services"
07220204,"Tree nuts, machine harvesting services"
07220300,"Field crops, except cash grains, machine harvesting services"
07220301,Combining services
07220302,"Cotton, machine harvesting services"
07220303,"Hay, machine harvesting services"
07220304,"Peanuts, machine harvesting services"
07220305,"Sugar crops, machine harvesting services"
07220306,"Tobacco, machine harvesting services"
07229900,"Crop harvesting, nec"
07229901,"Potatoes, machine harvesting services"
07229902,"Vegetables and melons, machine harvesting services"
07230000,Crop preparation services for market
07230100,"Field crops, except cash grains, market preparation services"
07230101,Alfalfa cubing services
07230102,Cotton seed delinting services
07230103,Flax decorticating services
07230104,Flax retting services
07230105,Hay baling services
07230106,Hay cubing services
07230107,Hay drying services
07230108,Peanut shelling
07230109,Tobacco grading services
07230200,Cash grain crops market preparation services
07230201,Corn drying services
07230202,Corn shelling services
07230203,"Feed milling, custom services"
07230204,"Flour milling, custom services"
07230205,Grain cleaning services
07230206,Grain drying services
07230207,Grain milling; custom services
07230208,Rice drying services
07230300,Vegetable crops market preparation services
07230301,Bean cleaning services
07230302,Potato curing services
07230303,Sweet potato curing services
07230304,Vegetable drying services
07230305,Vegetable grading services
07230306,Vegetable packing services
07230307,Vegetable precooling services
07230308,Vegetable sorting services
07230400,Fruit crops market preparation services
07230401,Fruit (farm-dried) packing services
07230402,Fruit (fresh) packing services
07230403,Fruit drying services
07230404,Fruit grading services
07230405,Fruit precooling services
07230406,Fruit sorting services
07230500,Tree nut crops market preparation services
07230501,Almond hulling and shelling services
07230502,Filbert hulling and shelling services
07230503,Pecan hulling and shelling services
07230504,Tree nuts (general) hulling and shelling services
07230505,Walnut hulling and shelling services
07239900,"Crop preparation services for market, nec"
07239901,Moss ginning services
07239902,Seed cleaning
07239903,Vacuum cooling
07240000,Cotton ginning
07249900,"Cotton ginning, nec"
