SICCode,SICDescription,SIC Only Auxilary Code 1,SIC Only Auxilary Code 2,SIC Only Auxilary Code 3
01110000,Wheat,X,,
01120000,Rice,X,,
01150000,Corn,X,,
01160000,Soybeans,X,,
01190000,"Cash grains, nec",X,,
01190100,Pea and bean farms (legumes),X,,
01190101,Bean (dry field and seed) farm,X,,
01190102,Cowpea farm,X,,
01190103,Lentil farm,X,,
01190104,Mustard seed farm,X,,
01190105,Pea (dry field and seed) farm,X,,
01190200,Feeder grains,X,,
01190201,Emmer farm,X,,
01190202,Milo farm,X,,
01190203,Oat farm,X,,
01190300,Oil grains,X,,
01190301,Flaxseed farm,X,,
01190302,Safflower farm,X,,
01190303,Sunflower farm,X,,
01190400,Cereal crop farms,X,,
01190401,Barley farm,X,,
01190402,Buckwheat farm,X,,
01190403,Rye farm,X,,
01190404,Sorghum farm,X,,
01199900,"Cash grains, nec, nec",X,,
01199901,Popcorn farm,X,,
01310000,Cotton,X,,
01319900,"Cotton, nec",X,,
01319901,Cottonseed farm,X,,
01320000,Tobacco,X,,
01330000,Sugarcane and sugar beets,X,,
01339900,"Sugarcane and sugar beets, nec",X,,
01339901,Sugar beet farm,X,,
01339902,Sugarcane farm,X,,
01340000,Irish potatoes,X,,
01390000,"Field crops, except cash grain",X,,
01390100,Feeder crops,X,,
01390101,Alfalfa farm,X,,
01390102,Clover farm,X,,
01390103,Grass seed farm,X,,
01390104,Hay farm,X,,
01390105,Timothy farm,X,,
01390200,Food crops,X,,
01390201,Peanut farm,X,,
01390202,Sweet potato farm,X,,
01399900,"Field crops, except cash grains, nec, nec",X,,
01399901,Broomcorn farm,X,,
01399902,Flax farm,X,,
01399903,Hop farm,X,,
01399904,Mint farm,X,,
01399905,Herb or spice farm,X,,
01399906,Cannabis farm,CNF,,
01610000,Vegetables and melons,X,,
01610100,Melon farms,X,,
01610101,Cantaloupe farm,X,,
01610102,Crenshaw melon farm,X,,
01610103,Honeydew melon farm,X,,
01610104,Watermelon farm,X,,
01610200,Pea and bean farms,X,,
01610201,English pea farm,X,,
01610202,"Lima bean farm, green",X,,
01610203,"Pea farm, green (except dry peas)",X,,
01610204,Snap bean farm (bush and pole),X,,
01610300,Rooted vegetable farms,X,,
01610301,Beet farm,X,,
01610302,Carrot farm,X,,
01610303,Onion farm,X,,
01610400,Lettuce and leaf vegetable farms,X,,
01610401,Artichoke farm,X,,
01610402,Bok choy farm,X,,
01610403,Broccoli farm,X,,
01610404,Brussels sprout farm,X,,
01610405,Cabbage farm,X,,
01610406,Cauliflower farm,X,,
01610407,Celery farm,X,,
01610408,Endive farm,X,,
01610409,Lettuce farm,X,,
01610410,Romaine farm,X,,
01610411,Spinach farm,X,,
01619900,"Vegetables and melons, nec",X,,
01619901,Asparagus farm,X,,
01619902,"Corn farm, sweet",X,,
01619903,Cucumber farm,X,,
01619904,Market garden,FVM,,
01619905,"Pepper farm, sweet and hot (vegetables)",X,,
01619906,Squash farm,X,,
01619907,Tomato farm,X,,
01619908,Truck farm,X,,
01619909,Pumpkin farm,X,,
01710000,Berry crops,X,,
01719900,"Berry crops, nec",X,,
01719901,Blackberry farm,X,,
01719902,Blueberry farm,X,,
01719903,Cranberry bog,X,,
01719904,Currant farm,X,,
01719905,Dewberry farm,X,,
01719906,Gooseberry farm,X,,
01719907,Loganberry farm,X,,
01719908,Raspberry farm,X,,
01719909,Strawberry farm,X,,
01720000,Grapes,X,,
01730000,Tree nuts,X,,
01739900,"Tree nuts, nec",X,,
01739901,Almond grove,X,,
01739902,Chestnut grove,X,,
01739903,Filbert grove,X,,
01739904,Macadamia grove,X,,
01739905,Pecan grove,X,,
01739906,Pistachio grove,X,,
01739907,Tung nut grove,X,,
01739908,Walnut grove,X,,
01740000,Citrus fruits,X,,
01749900,"Citrus fruits, nec",X,,
01749901,Grapefruit grove,X,,
01749902,Lemon grove,X,,
01749903,Lime grove,X,,
01749904,Orange grove,X,,
01749905,Tangelo grove,X,,
01749906,Tangerine grove,X,,
01750000,Deciduous tree fruits,X,,
01759900,"Deciduous tree fruits, nec",X,,
01759901,Apple orchard,X,,
01759902,Apricot orchard,X,,
01759903,Cherry orchard,X,,
01759904,Nectarine orchard,X,,
01759905,Peach orchard,X,,
01759906,Pear orchard,X,,
01759907,Persimmon orchard,X,,
01759908,Plum orchard,X,,
01759909,Pomegranate orchard,X,,
01759910,Prune orchard,X,,
01759911,Quince orchard,X,,
01790000,"Fruits and tree nuts, nec",X,,
01799900,"Fruits and tree nuts, nec, nec",X,,
01799901,Avocado orchard,X,,
01799902,Banana grove,X,,
01799903,Coconut grove,X,,
01799904,Date orchard,X,,
01799905,Fig orchard,X,,
01799906,Kiwi farm,X,,
01799907,Olive grove,X,,
01799908,Pineapple farm,X,,
01799909,Plantain grove,X,,
01799910,Coffee farm,X,,
01799911,Guava grove,X,,
01799912,Papaya grove,X,,
01799913,Mango grove,X,,
01810000,Ornamental nursery products,X,,
01810100,"Plants, foliage and shrubberies",X,,
01810101,"Bedding plants, growing of",X,,
01810102,"Foliage, growing of",X,,
01810103,"Mats, preseeded: soil erosion, growing of",X,,
01810104,"Nursery stock, growing of",X,,
01810105,"Plants, potted: growing of",X,,
01810106,"Shrubberies, grown in field nurseries",X,,
01810107,"Shrubberies, grown under cover (e.g. greenhouse production)",X,,
01810200,Florists' greens and flowers,X,,
01810201,"Florists' greens, cultivated: growing of",X,,
01810202,"Flowers, grown in field nurseries",X,,
01810203,"Flowers: grown under cover (e.g., greenhouse production)",X,,
01810204,"Roses, growing of",X,,
01810300,Bulbs and seeds,X,,
01810301,"Bulbs, growing of",X,,
01810302,"Seeds, flower: growing of",X,,
01810303,"Seeds, vegetable: growing of",X,,
01819900,"Ornamental nursery products, nec",X,,
01819901,"Fruit stocks, growing of",X,,
01819902,Sod farms,X,,
01820000,Food crops grown under cover,X,,
01820100,"Vegetable crops, grown under cover",X,,
01820101,"Bean sprouts, grown under cover",X,,
01820102,"Mushroom spawn, production of",X,,
01820103,"Mushrooms, grown under cover",X,,
01820104,"Rhubarb, grown under cover",X,,
01820105,"Tomatoes, grown under cover",X,,
01820106,"Truffles, grown under cover",X,,
01829900,"Food crops grown under cover, nec",X,,
01829901,"Fruits, grown under cover",X,,
01829902,"Hydroponic crops, grown under cover",X,,
01829903,"Seaweed, grown under cover",X,,
01910000,"General farms, primarily crop",X,,
02110000,Beef cattle feedlots,X,,
02120000,"Beef cattle, except feedlots",X,,
02130000,Hogs,X,,
02139900,"Hogs, nec",X,,
02139901,Hog feedlot,X,,
02140000,Sheep and goats,X,,
02140100,Goats,X,,
02140101,Goat farm,X,,
02140102,Goats' milk production,X,,
02140103,Mohair production,X,,
02140200,Sheep,X,,
02140201,Lamb feedlot,X,,
02140202,Sheep feeding farm,X,,
02140203,Sheep raising farm,X,,
02140204,Wool production,X,,
02190000,"General livestock, nec",X,,
02410000,Dairy farms,X,,
02419900,"Dairy farms, nec",X,,
02419901,Dairy heifer replacement farm,X,,
02419902,Milk production,X,,
02510000,"Broiler, fryer, and roaster chickens",X,,
02519900,"Broiler, fryer, and roaster chickens, nec",X,,
02519901,"Broiling chickens, raising of",X,,
02519902,"Capons, raising of",X,,
02519903,"Cornish hens, raising of",X,,
02519904,"Frying chickens, raising of",X,,
02519905,"Roasting chickens, raising of",X,,
02520000,Chicken eggs,X,,
02529900,"Chicken eggs, nec",X,,
02529901,Started pullet farm,X,,
02530000,Turkeys and turkey eggs,X,,
02539900,"Turkeys and turkey eggs, nec",X,,
02539901,Turkey egg farm,X,,
02539902,Turkey farm,X,,
02540000,Poultry hatcheries,X,,
02549900,"Poultry hatcheries, nec",X,,
02549901,Chicken hatchery,X,,
02590000,"Poultry and eggs, nec",X,,
02599900,"Poultry and eggs, nec, nec",X,,
02599901,Duck farm,X,,
02599902,Geese farm,X,,
02599903,Pheasant farm,X,,
02599904,Pigeon farm,X,,
02599905,Quail farm,X,,
02599906,Squab farm,X,,
02710000,Fur-bearing animals and rabbits,X,,
02719900,"Fur-bearing animals and rabbits, nec",X,,
02719901,Chinchilla farm,X,,
02719902,Fox farm,X,,
02719903,Mink farm,X,,
02719904,Rabbit farm,X,,
02719905,Racoon farm,X,,
02720000,Horses and other equines,X,,
02729900,"Horses and other equines, nec",X,,
02729901,Burro farm,X,,
02729902,Donkey farm,X,,
02729903,Horse farm,X,,
02729904,Mule farm,X,,
02729905,Pony farm,X,,
02730000,Animal aquaculture,X,,
02730100,Finfish farms,X,,
02730101,Catfish farm,X,,
02730102,Goldfish farm,X,,
02730103,Minnow farm,X,,
02730104,Tropical fish farm,X,,
02730105,Trout farm,X,,
02730200,Shellfish farms,X,,
02730201,Crustacean farm,X,,
02730202,Mollusk farm,X,,
02790000,"Animal specialties, nec",X,,
02790100,Worm farms,X,,
02790101,Earthworm farm,X,,
02790102,Silk (raw) production and silkworm farm,X,,
02790200,Bird sanctuaries,X,,
02790201,Aviary,X,,
02790300,Amphibious animal farms,X,,
02790301,Alligator farm,X,,
02790302,Frog farm,X,,
02790303,Rattlesnake farm,X,,
02790400,Domestic animal farms,X,,
02790401,Cat farm,X,,
02790402,Dog farm,X,,
02790403,"Kennels, breeding and raising own stock",X,,
02799900,"Animal specialties, nec, nec",X,,
02799901,Apiary (bee and honey farm),X,,
02799902,Laboratory animal farm,X,,
02799903,Insect farm,X,,
02910000,"General farms, primarily animals",X,,
02919900,"General farms, primarily animals, nec",X,,
02919901,"Animal specialty farm, general",X,,
02919902,"Livestock farm, general",X,,
07110000,Soil preparation services,X,,
07119900,"Soil preparation services, nec",X,,
07119901,Fertilizer application services,X,,
07119902,Lime spreading services,X,,
07119903,Plowing services,X,,
07119904,Seed bed preparation services,X,,
07119905,Soil chemical treatment services,X,,
07119906,Soil testing services,X,,
07119907,"Weed control services, before planting",X,,
07210000,Crop planting and protection,X,,
07210100,Orchard tree and vine services,X,,
07210101,Orchard tree and vine bracing services,X,,
07210102,Orchard tree and vine pruning services,X,,
07210103,Orchard tree and vine surgery services,X,,
07210104,"Tree orchards, cultivation of",X,,
07210105,"Vines, cultivation of",X,,
07210200,Sprout and twig services,X,,
07210201,Sprout and twig cultivation services,X,,
07210202,Sprout and twig seeding services,X,,
07210300,Crop protecting services,X,,
07210301,Crop disease control services,X,,
07210302,Crop dusting services,X,,
07210303,Crop related entomological services (insect control),X,,
07210304,Crop spraying services,X,,
07210400,Crop cultivating services,X,,
07210401,Citrus grove cultivation services,X,,
07210402,Corn detasseling services,X,,
07210403,Crop thinning (chemical) services,X,,
07210404,Crop thinning (mechanical) services,X,,
07210405,Flame cultivation services,X,,
07210406,Hoeing services,X,,
07210407,"Irrigation system operation, not providing water",X,,
07210408,Mechanical cultivation services,X,,
07210409,Pollinating services,X,,
07210410,"Weed control services, after planting",X,,
07219900,"Crop planting and protection, nec",X,,
07219901,Crop seeding services,X,,
07219902,Planting services,X,,
07220000,Crop harvesting,X,,
07220100,"Cash grains, machine harvesting services",X,,
07220101,Chopping and silo filling services,X,,
07220102,"Corn, machine harvesting services",X,,
07220103,"Rice, machine harvesting services",X,,
07220104,"Soybean, machine harvesting services",X,,
07220105,Threshing service,X,,
07220106,"Wheat, machine harvesting services",X,,
07220200,"Fruit and tree nuts, machine harvesting services",X,,
07220201,"Berry crops, machine harvesting services",X,,
07220202,"Fruit, machine harvesting services",X,,
07220203,"Grapes, machine harvesting services",X,,
07220204,"Tree nuts, machine harvesting services",X,,
07220300,"Field crops, except cash grains, machine harvesting services",X,,
07220301,Combining services,X,,
07220302,"Cotton, machine harvesting services",X,,
07220303,"Hay, machine harvesting services",X,,
07220304,"Peanuts, machine harvesting services",X,,
07220305,"Sugar crops, machine harvesting services",X,,
07220306,"Tobacco, machine harvesting services",X,,
07229900,"Crop harvesting, nec",X,,
07229901,"Potatoes, machine harvesting services",X,,
07229902,"Vegetables and melons, machine harvesting services",X,,
07230000,Crop preparation services for market,X,,
07230100,"Field crops, except cash grains, market preparation services",X,,
07230101,Alfalfa cubing services,X,,
07230102,Cotton seed delinting services,X,,
07230103,Flax decorticating services,X,,
07230104,Flax retting services,X,,
07230105,Hay baling services,X,,
07230106,Hay cubing services,X,,
07230107,Hay drying services,X,,
07230108,Peanut shelling,X,,
07230109,Tobacco grading services,X,,
07230200,Cash grain crops market preparation services,X,,
07230201,Corn drying services,X,,
07230202,Corn shelling services,X,,
07230203,"Feed milling, custom services",X,,
07230204,"Flour milling, custom services",X,,
07230205,Grain cleaning services,X,,
07230206,Grain drying services,X,,
07230207,Grain milling; custom services,X,,
07230208,Rice drying services,X,,
07230300,Vegetable crops market preparation services,X,,
07230301,Bean cleaning services,X,,
07230302,Potato curing services,X,,
07230303,Sweet potato curing services,X,,
07230304,Vegetable drying services,X,,
07230305,Vegetable grading services,X,,
07230306,Vegetable packing services,X,,
07230307,Vegetable precooling services,X,,
07230308,Vegetable sorting services,X,,
07230400,Fruit crops market preparation services,X,,
07230401,Fruit (farm-dried) packing services,X,,
07230402,Fruit (fresh) packing services,X,,
07230403,Fruit drying services,X,,
07230404,Fruit grading services,X,,
07230405,Fruit precooling services,X,,
07230406,Fruit sorting services,X,,
07230500,Tree nut crops market preparation services,X,,
07230501,Almond hulling and shelling services,X,,
07230502,Filbert hulling and shelling services,X,,
07230503,Pecan hulling and shelling services,X,,
07230504,Tree nuts (general) hulling and shelling services,X,,
07230505,Walnut hulling and shelling services,X,,
07239900,"Crop preparation services for market, nec",X,,
07239901,Moss ginning services,X,,
07239902,Seed cleaning,X,,
07239903,Vacuum cooling,X,,
07240000,Cotton ginning,X,,
07249900,"Cotton ginning, nec",X,,
07249901,Cotton pickery services,X,,
07410000,Veterinary services for livestock,X,,
07419900,"Veterinary services for livestock, nec",X,,
07419901,"Animal hospital services, livestock",X,,
07419902,"Veterinarian, livestock",X,,
07420000,"Veterinary services, specialties",PET,,
07429900,"Veterinary services, specialties, nec",PET,,
07429901,"Animal hospital services, pets and other animal specialties",PET,,
07429902,"Veterinarian, animal specialties",PET,,
07510000,"Livestock services, except veterinary",X,,
07510100,Cattle services,X,,
07510101,Cattle spraying services,X,,
07510102,Dairy herd improvement association services,X,,
07510200,Poultry services,X,,
07510201,Poultry catching services,X,,
